"node","major","minor","mode","bdf","char_device","class_device","result"
"/dev/xdma0_c2h_0","511","36","0o20600","0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","PASS"
"/dev/xdma0_control","511","1","0o20600","0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","PASS"
"/dev/xdma0_events_0","511","10","0o20600","0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","PASS"
"/dev/xdma0_events_1","511","11","0o20600","0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","PASS"
"/dev/xdma0_events_10","511","20","0o20600","0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","PASS"
"/dev/xdma0_events_11","511","21","0o20600","0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","PASS"
"/dev/xdma0_events_12","511","22","0o20600","0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","PASS"
"/dev/xdma0_events_13","511","23","0o20600","0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","PASS"
"/dev/xdma0_events_14","511","24","0o20600","0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","PASS"
"/dev/xdma0_events_15","511","25","0o20600","0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","PASS"
"/dev/xdma0_events_2","511","12","0o20600","0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","PASS"
"/dev/xdma0_events_3","511","13","0o20600","0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","PASS"
"/dev/xdma0_events_4","511","14","0o20600","0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","PASS"
"/dev/xdma0_events_5","511","15","0o20600","0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","PASS"
"/dev/xdma0_events_6","511","16","0o20600","0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","PASS"
"/dev/xdma0_events_7","511","17","0o20600","0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","PASS"
"/dev/xdma0_events_8","511","18","0o20600","0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","PASS"
"/dev/xdma0_events_9","511","19","0o20600","0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","PASS"
"/dev/xdma0_h2c_0","511","32","0o20600","0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","PASS"
"/dev/xdma0_user","511","0","0o20600","0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","PASS"
"/dev/xdma0_xvc","511","2","0o20600","0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","/sys/devices/pci0000:00/0000:00:01.1/0000:01:00.0","PASS"
