"word_index","byte_offset","field","observed","status"
"0","0x00","magic","N/A","NOT_REACHED_RECORD_BYTES_NOT_PRESERVED"
"1","0x04","record_version","N/A","NOT_REACHED_RECORD_BYTES_NOT_PRESERVED"
"2","0x08","reset_epoch","N/A","NOT_REACHED_RECORD_BYTES_NOT_PRESERVED"
"3","0x0C","source_frame_sequence","N/A","NOT_REACHED_RECORD_BYTES_NOT_PRESERVED"
"4","0x10","source_line_sequence","N/A","NOT_REACHED_RECORD_BYTES_NOT_PRESERVED"
"5","0x14","source_capture_sequence","N/A","NOT_REACHED_RECORD_BYTES_NOT_PRESERVED"
"6","0x18","payload_length","N/A","NOT_REACHED_RECORD_BYTES_NOT_PRESERVED"
"7","0x1C","flags","N/A","NOT_REACHED_RECORD_BYTES_NOT_PRESERVED"
"8","0x20","active_logical_channel_count","N/A","NOT_REACHED_RECORD_BYTES_NOT_PRESERVED"
"9","0x24","source_slot_generation_and_slot","N/A","NOT_REACHED_RECORD_BYTES_NOT_PRESERVED"
"10","0x28","source_malformed_count_snapshot","N/A","NOT_REACHED_RECORD_BYTES_NOT_PRESERVED"
"11","0x2C","source_dropped_count_snapshot","N/A","NOT_REACHED_RECORD_BYTES_NOT_PRESERVED"
"12","0x30","logical_channel_id","N/A","NOT_REACHED_RECORD_BYTES_NOT_PRESERVED"
"13","0x34","physical_input_id","N/A","NOT_REACHED_RECORD_BYTES_NOT_PRESERVED"
"14","0x38","channel_attempt_sequence","N/A","NOT_REACHED_RECORD_BYTES_NOT_PRESERVED"
"15","0x3C","global_stream_sequence","N/A","NOT_REACHED_RECORD_BYTES_NOT_PRESERVED"
