Timestamp,Phase,Node,BDF,Offset,Value
1788727653695962694,T3,/dev/xdma0_user,0000:01:00.0,0x380C,0x00000000
1788727653698109643,T3,/dev/xdma0_user,0000:01:00.0,0x3810,0x000000C4
1788727653699770414,T3,/dev/xdma0_user,0000:01:00.0,0x3838,0x00000001
1788727653701361836,T3,/dev/xdma0_user,0000:01:00.0,0x383C,0x00000000
1788727653702963026,T3,/dev/xdma0_user,0000:01:00.0,0x3840,0x00000000
1788727653708304681,T3,/dev/xdma0_user,0000:01:00.0,0x380C,0x00000000
1788727653709934363,T3,/dev/xdma0_user,0000:01:00.0,0x3810,0x000000C4
1788727653711554959,T3,/dev/xdma0_user,0000:01:00.0,0x3838,0x00000002
1788727653713211291,T3,/dev/xdma0_user,0000:01:00.0,0x383C,0x00000000
1788727653714831887,T3,/dev/xdma0_user,0000:01:00.0,0x3810,0x000000C4
1788727653716487498,T3,/dev/xdma0_user,0000:01:00.0,0x380C,0x00000000
1788727653718299858,T3,/dev/xdma0_user,0000:01:00.0,0x3838,0x00000002
1788727653720138748,T3,/dev/xdma0_user,0000:01:00.0,0x3838,0x00000002
1788727653721917396,T3,/dev/xdma0_user,0000:01:00.0,0x384C,0x00000000
1788727653723708157,T3,/dev/xdma0_user,0000:01:00.0,0x3810,0x000000C4
1788727653728839352,T3,/dev/xdma0_user,0000:01:00.0,0x3848,0x00000002
1788727653730461131,T3,/dev/xdma0_user,0000:01:00.0,0x3814,0x00000000
1788727653732027977,T3,/dev/xdma0_user,0000:01:00.0,0x3818,0x00000000
1788727653733649355,T3,/dev/xdma0_user,0000:01:00.0,0x381C,0x00000000
1788727653735254832,T3,/dev/xdma0_user,0000:01:00.0,0x3820,0x00000000
1788727653736918418,T3,/dev/xdma0_user,0000:01:00.0,0x3824,0x00000000
1788727653738517554,T3,/dev/xdma0_user,0000:01:00.0,0x3828,0x00000000
1788727653740140945,T3,/dev/xdma0_user,0000:01:00.0,0x382C,0x00000000
1788727653741793160,T3,/dev/xdma0_user,0000:01:00.0,0x3830,0x00000000
