Family,Constraint_Type,Source_Count,Destination_Count,Required_ns,Worst_Actual_ns,Slack_ns,Result,Runtime_s,Startpoint_Pin,Endpoint_Pin,Startpoint_Clock,Endpoint_Clock,Logic_Levels,Exception
"RELEASE_SLOT0_NORMAL_STATE_TRANSITION","MAX_DELAY_DATAPATH_ONLY","56","3","6.000","5.467","0.563","PASS","69.444","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/slot_state_source_reg[0][1]/D","userclk1","nvp_vclk1","8","MaxDelay Path 6.000ns -datapath_only"
"RELEASE_SLOT0_MISMATCH_CONTAINMENT","MAX_DELAY_DATAPATH_ONLY","56","4","6.000","5.554","0.478","PASS","0.154","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/source_ownership_fatal_deferred_reg/D","userclk1","nvp_vclk1","8","MaxDelay Path 6.000ns -datapath_only"
"RELEASE_SLOT0_RESET_OVERLAP_ACCOUNTING","MAX_DELAY_DATAPATH_ONLY","56","3","6.000","4.191","1.839","PASS","0.171","G2B_ONECH_C2H/release_epoch_axi_reg[0][5]/C","G2B_ONECH_C2H/reset_abandoned_hold_source_reg[1]/D","userclk1","nvp_vclk1","6","MaxDelay Path 6.000ns -datapath_only"
