session_index,local_start_tick,local_end_tick,remote_utc,hostname,user,effective_user,kernel,boot_id,uptime_seconds,next_reboot_kernel,helper_exit,result
1,2545046804029,2545069382633,2026-08-23T21:48:44.351853955Z,VCDE-DUT-1,vcdeagent1,root,7.0.0-29-generic,dd140158-f8dc-46eb-9a05-27bb532713aa,6852.57,7.0.0-29-generic,0,PASS
2,2545095661994,2545106570120,2026-08-23T21:48:48.173523968Z,VCDE-DUT-1,vcdeagent1,root,7.0.0-29-generic,dd140158-f8dc-46eb-9a05-27bb532713aa,6856.40,7.0.0-29-generic,0,PASS
3,2545121912833,2545132075012,2026-08-23T21:48:50.699482476Z,VCDE-DUT-1,vcdeagent1,root,7.0.0-29-generic,dd140158-f8dc-46eb-9a05-27bb532713aa,6858.92,7.0.0-29-generic,0,PASS
