primitive,count
RAMB18E1,3
RAMB36E1,0
FDRE,3
FDSE,0
FDCE,0
RAM32M,0
RAM64M,0
RAMD64E,0
LUT1,0
LUT2,4
LUT3,6
LUT4,2
LUT5,0
LUT6,16
MUXF7,0
MUXF8,0
