Slot,Query_Kind,Index,Startpoint_Pin,Endpoint_Pin,Startpoint_Clock,Endpoint_Clock,Datapath_Delay_ns,Requirement_ns,Slack_ns,Logic_Levels,Exception,Endpoint_Role,Path_Type
"1","ORIGINAL_GROUP_SCOPE","1","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/source_ownership_fatal_deferred_reg/D","userclk1","nvp_vclk1","5.576","6.000","0.456","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"1","ORIGINAL_GROUP_SCOPE","2","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/source_ownership_fatal_deferred_reg/D","userclk1","nvp_vclk1","5.576","6.000","0.456","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"1","ORIGINAL_GROUP_SCOPE","3","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/source_ownership_fatal_deferred_reg/D","userclk1","nvp_vclk1","5.576","6.000","0.456","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"1","ORIGINAL_GROUP_SCOPE","4","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/source_ownership_fatal_deferred_reg/D","userclk1","nvp_vclk1","5.576","6.000","0.456","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"1","ORIGINAL_GROUP_SCOPE","5","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/source_ownership_fatal_deferred_reg/D","userclk1","nvp_vclk1","5.576","6.000","0.456","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"1","ORIGINAL_GROUP_SCOPE","6","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/source_ownership_fatal_deferred_reg/D","userclk1","nvp_vclk1","5.576","6.000","0.456","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"1","ORIGINAL_GROUP_SCOPE","7","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/source_ownership_fatal_deferred_reg/D","userclk1","nvp_vclk1","5.576","6.000","0.456","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"1","ORIGINAL_GROUP_SCOPE","8","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/source_ownership_fatal_reg/D","userclk1","nvp_vclk1","5.509","6.000","0.523","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"1","ORIGINAL_GROUP_SCOPE","9","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/source_ownership_fatal_reg/D","userclk1","nvp_vclk1","5.509","6.000","0.523","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"1","ORIGINAL_GROUP_SCOPE","10","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/source_ownership_fatal_reg/D","userclk1","nvp_vclk1","5.509","6.000","0.523","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
