Slot,Returned_Path_Count,Source_Diversity,Destination_Diversity,Endpoint_Roles,Logic_Levels,Startpoint_Clocks,Endpoint_Clocks,Exceptions,Worst_Datapath_ns,Worst_Slack_ns,Runtime_s,Command
"1","49","1","7","MISMATCH_CONTAINMENT;NORMAL_STATE_TRANSITION","9","userclk1","nvp_vclk1","MaxDelay Path 6.000ns -datapath_only","5.576","0.456","33.458","get_timing_paths -delay_type max -sort_by slack -max_paths 64 -nworst 7 -from <56 slot-1 sources> -to <20 original destinations>"
"2","49","1","7","MISMATCH_CONTAINMENT;NORMAL_STATE_TRANSITION","9","userclk1","nvp_vclk1","MaxDelay Path 6.000ns -datapath_only","5.772","0.260","0.134","get_timing_paths -delay_type max -sort_by slack -max_paths 64 -nworst 7 -from <56 slot-2 sources> -to <20 original destinations>"
"3","49","1","7","MISMATCH_CONTAINMENT;NORMAL_STATE_TRANSITION","7;8;9","userclk1","nvp_vclk1","MaxDelay Path 6.000ns -datapath_only","5.729","0.303","0.121","get_timing_paths -delay_type max -sort_by slack -max_paths 64 -nworst 7 -from <56 slot-3 sources> -to <20 original destinations>"
