Slot,Role,Object_Name,REF_NAME,Clock,ASYNC_REG,INIT,LOC,BEL,Control_Nets
"0","RELEASE_TOGGLE","G2B_ONECH_C2H/release_toggle_axi_reg[0]","FDRE","userclk1","N/A","1'b0","SLICE_X44Y61","SLICEL.BFF","NONE"
"0","RELEASE_SYNC1","G2B_ONECH_C2H/release_sync1_source_reg[0]","FDRE","nvp_vclk1","1","1'b0","SLICE_X45Y61","SLICEL.AFF","NONE"
"0","RELEASE_SYNC2","G2B_ONECH_C2H/release_sync2_source_reg[0]","FDRE","nvp_vclk1","1","1'b0","SLICE_X45Y61","SLICEL.A5FF","NONE"
"0","RELEASE_SEEN","G2B_ONECH_C2H/release_seen_source_reg[0]","FDRE","nvp_vclk1","N/A","1'b0","SLICE_X46Y63","SLICEM.DFF","NONE"
"1","RELEASE_TOGGLE","G2B_ONECH_C2H/release_toggle_axi_reg[1]","FDRE","userclk1","N/A","1'b0","SLICE_X43Y64","SLICEL.BFF","NONE"
"1","RELEASE_SYNC1","G2B_ONECH_C2H/release_sync1_source_reg[1]","FDRE","nvp_vclk1","1","1'b0","SLICE_X44Y62","SLICEL.BFF","NONE"
"1","RELEASE_SYNC2","G2B_ONECH_C2H/release_sync2_source_reg[1]","FDRE","nvp_vclk1","1","1'b0","SLICE_X44Y62","SLICEL.A5FF","NONE"
"1","RELEASE_SEEN","G2B_ONECH_C2H/release_seen_source_reg[1]","FDRE","nvp_vclk1","N/A","1'b0","SLICE_X44Y65","SLICEL.AFF","NONE"
"2","RELEASE_TOGGLE","G2B_ONECH_C2H/release_toggle_axi_reg[2]","FDRE","userclk1","N/A","1'b0","SLICE_X44Y61","SLICEL.CFF","NONE"
"2","RELEASE_SYNC1","G2B_ONECH_C2H/release_sync1_source_reg[2]","FDRE","nvp_vclk1","1","1'b0","SLICE_X45Y61","SLICEL.BFF","NONE"
"2","RELEASE_SYNC2","G2B_ONECH_C2H/release_sync2_source_reg[2]","FDRE","nvp_vclk1","1","1'b0","SLICE_X45Y61","SLICEL.B5FF","NONE"
"2","RELEASE_SEEN","G2B_ONECH_C2H/release_seen_source_reg[2]","FDRE","nvp_vclk1","N/A","1'b0","SLICE_X44Y65","SLICEL.CFF","NONE"
"3","RELEASE_TOGGLE","G2B_ONECH_C2H/release_toggle_axi_reg[3]","FDRE","userclk1","N/A","1'b0","SLICE_X44Y61","SLICEL.DFF","NONE"
"3","RELEASE_SYNC1","G2B_ONECH_C2H/release_sync1_source_reg[3]","FDRE","nvp_vclk1","1","1'b0","SLICE_X46Y63","SLICEM.AFF","NONE"
"3","RELEASE_SYNC2","G2B_ONECH_C2H/release_sync2_source_reg[3]","FDRE","nvp_vclk1","1","1'b0","SLICE_X46Y63","SLICEM.A5FF","NONE"
"3","RELEASE_SEEN","G2B_ONECH_C2H/release_seen_source_reg[3]","FDRE","nvp_vclk1","N/A","1'b0","SLICE_X44Y64","SLICEL.AFF","NONE"
